,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BAJAJHLDNG.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
BHARTIARTL.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024236061105442238,0.17897413216931873,0.8305140557908139,0.5559431681948255,0.6543670273512199,0.10516828559385771,0.6678552521537081,0.739062602704787,0.5250979750506594,0.7276751757467921,0.34202770169945296,0.37668842502166966,0.9399250639015876,0.5529438100650473,0.9914261906671415,0.9795705547756054,0.9596748260693567,0.42692340850281013,0.811442668971577,0.5852311228090356,0.23540879989708952,0.22441145765187764,0.7950499736842505,0.4743087511063171,0.5268431213717205,0.3798117350776264,0.7879133328473225,0.11232206936088973,0.37847206874385864,0.4525948872083064,0.9916380615341538,0.8847957962130639,0.5214642190914928,0.7204978690399133,0.7533080212168664,0.4894338203046165,0.9788917519399534,0.9831671624511893
BPCL.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08711066786859784,0.41586305745626384,0.30852805182975807,0.42429632584567156,0.14671420925712364,0.3527633438196264,0.40229895679767314,0.5185371278710011,0.7483476782119122,0.011785855349467954,0.13587044703320295,0.8586207953339433,0.31998544067042145,0.9171093684601893,0.9405721312766845,0.8977662744029695,0.4170774610307646,0.682127266433808,0.27301643100775297,0.07325550621199226,0.15058542223643206,0.47914548217879144,0.23153849989189418,0.2613734872375524,0.204664712471199,0.6700799217768714,0.08767702384129705,0.23026982202136181,0.1598315444421135,0.9515480246017249,0.5087405122904085,0.23836769008657832,0.4976296475422253,0.43469849970180185,0.22691397054098628,0.9612334511490211,0.93671130795346
BRITANNIA.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07169889721230496,0.1833173517704519,0.08311601494817245,0.0904536192682674,0.07087566590631812,0.10113210085666458,0.1659741421599638,0.706961409115856,0.12720159464355418,0.08793931611759598,0.9092584196170326,0.028037285083760913,0.7833743279218929,0.8911199020494326,0.8426026475966704,0.0636555236847809,0.5529716850172592,0.03129617455467518,0.10620629755601879,0.17033734795661493,0.4408501829222334,0.06669378023347797,0.1263471390775951,0.03688188983192075,0.25644211338771983,0.02807803890068039,0.04846697158128765,0.035213646591470346,0.9461490510451491,0.26927311491603845,0.06546727651448732,0.32710138253322785,0.09007998917338811,0.050282885172890944,0.9006303126581148,0.9124695053293511
CIPLA.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7241533971862795,0.2805160719723101,0.51287954314835,0.0207727746080897,0.005455083433607778,0.10802783280978151,0.4757496792194186,0.44446435681222995,0.36339755716419575,0.4418322152945305,0.06637139803128526,0.6415399828381427,0.9074330383448252,0.47651710159579347,0.1257798577446595,0.37299672455084154,0.12202326722511936,0.4940236463320594,0.2544946978921759,0.24331607381851378,0.5821155041500475,0.4426004577507602,0.17200552935038443,0.07223268807014134,0.3060572389715187,0.26360425448848035,0.4369468590710363,0.6129615132515085,0.034303532929539506,0.10947825323687704,0.07364905333381928,0.25979335868519826,0.0022713440336926123,0.8694650586755447,0.7732043375405008
COALINDIA.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8734506622441058,0.49905966458995366,0.816294671401379,0.9030372298612495,0.9298410659005061,0.9769076902070721,0.15674411344270855,0.6749552156409555,0.9822147664276852,0.8217478286418362,0.9850963189642499,1.0,0.9876366105248521,0.7694258384904265,0.9712661338760431,0.3551142003390366,0.5636856767239443,0.24382412310844653,0.9221637731179569,0.010346117303991603,0.008781497167030656,0.344934940646645,0.94495943590905,0.6832365891430264,0.5346811538263943,0.5134005855120106,0.9934818442545095,0.9659286563811179,0.7538415472739595,0.861696905896986,0.6812335362090578,0.789452590156601,0.9932128830835499,0.992715306748193
DRREDDY.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3609344381656123,0.2839022127695401,0.11863030387839041,0.21073898464105062,0.22486368256008177,0.3204843620013811,0.3791381742291967,0.20834660557649531,0.2300832248138059,0.7639020796077147,0.7860360176396661,0.5756738321939133,0.3046560765336096,0.23747099194546145,0.359210777065006,0.4606248256473492,0.4176778020178063,0.01784076894664752,0.4120588019927546,0.43094318697088496,0.2928926073033428,0.030042202598407643,0.21331051371946036,0.36993329780308076,0.41701348763022017,0.72203905854456,0.035131379459597316,0.21819564059394614,0.32942892271772206,0.24132471910083125,0.13425627823598496,0.8155359407736944,0.7678307859842204
EICHERMOT.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6707474556815514,0.6011760855106675,0.7560132419561147,0.9030997969973191,0.19867208677107379,0.10646326536979944,0.9758842300123587,0.7314236514393918,0.9878041551422097,0.988413722703229,0.9657148857933451,0.4225284954529579,0.8872738731816525,0.7018681632202601,0.11658881654222386,0.03280630615167488,0.867161669430325,0.5466402543471246,0.4745706998804954,0.5867155963852689,0.9015930287064426,0.286222123351622,0.1670759210792736,0.3894920980091938,0.9910227648587429,0.8721082230516044,0.4839653611745972,0.7383884266273142,0.6737063235497833,0.6900954468101546,0.9881626231499732,0.9822557776706978
GRASIM.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020269816030108388,0.12057056964900614,0.6338524076818755,0.4654553386027115,0.1041601166693169,0.8611218932173859,0.12619448942643985,0.8988632056795132,0.9608618774326256,0.6250882279084576,0.018791895599019736,0.4413554876240081,0.12454320065774782,0.4319737487408628,0.2529258695018133,0.3963532045458518,0.5296650276546807,0.3281917119867337,0.17923314979993016,0.36146454114597903,0.08087889253965108,0.2744782106615037,0.04601748778463136,0.9282335319549417,0.431365643057731,0.024308483849320345,0.043530903472021175,0.15024557345378736,0.016625155128366646,0.9138327819620092,0.8980632801569424
HCLTECH.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09294794585709892,0.3871480448707476,0.40493918002562856,0.5528590894842167,0.4616880741653211,0.03079054609523546,0.5012964466484479,0.8736806746239544,0.8027098158758141,0.2083269498290134,0.312637450708963,0.45849162602576526,0.4596987463657437,0.2944164437003841,0.21249148681267016,0.27635261557791824,0.24230828148454014,0.06525195661811987,0.23592125756693666,0.4356460423084874,0.21149185087787437,0.10535233537074357,0.9126983529838788,0.09826073566319687,0.044575411106046306,0.11390763027055101,0.244380701331337,0.0013905778729491215,0.7916543441280814,0.836140899305875
HDFCBANK.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1670466772413684,0.38206308295403324,0.1295505610118105,0.15822922587490057,0.022546314719482406,0.3927104870659214,0.5969607516236323,0.17921047836821175,0.03844359689325707,0.007354950917119608,0.2992681736693607,0.21731797717033274,0.19571156095373615,0.21034580587684842,0.3669226162589001,0.31201122870630316,0.2979136477654045,0.13779240061993786,0.056695239867079514,0.33017777439291646,0.17950331104834893,0.419143905674252,0.05841148107202926,0.08893371400131239,0.024622570049463215,0.1344715322150158,0.0388998982303878,0.36576581354235715,0.36513982605190565
