,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BAJAJHLDNG.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
LT.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4339595528226535,0.08965980195984452,0.6726844187058401,0.028289783475141377,0.03372284622676291,0.031565344775176994,0.6168301401324673,0.314787540228911,0.5591408413365171,0.0433803762629246,0.9453600230366812,0.5768424014523201,0.4720810460577927,0.41732975220216356,0.41950983152146715,0.28573825949137377,0.948070762949912,0.9695407661096778
M&M.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02521384583777415,0.7922859759894832,0.09802636824571631,0.16559770941411667,0.3812229843078464,0.8191170042858373,0.3856846969878335,0.5075422396761383,0.08054228534510105,0.9877591586475442,0.8258115230926875,0.6002318863644747,0.7165265281266175,0.7255260156721737,0.4335633678067581,0.9751484365772964,0.967177714856707
MARUTI.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5740568682951981,0.007098274572896975,0.11840367444680783,0.09882559153094755,0.5926280544998239,0.2265502920157254,0.21853793118650056,0.1703318769951554,0.8813062797169862,0.49147840374532276,0.2399224661122562,0.4436271089683099,0.3039300040288083,0.2232055187365749,0.9086638474537272,0.8642417027379685
NESTLEIND.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3174488239234616,0.2942183941788371,0.2885889864251035,0.01801330589543379,0.17349578576999197,0.31513207617350036,0.2531869988605925,0.6866199188349226,0.04812614846625486,0.20881860239701372,0.3142814202918239,0.17717724878533836,0.19291225645737564,0.727202527558322,0.7108966677509112
NTPC.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0060804923085371046,0.03703600293691764,0.8727791738181325,0.4990655366303806,0.34829753303751054,0.13217752240709557,0.9873355496396562,0.8655311439763586,0.6242972978991683,0.6191161518403281,0.5590905841153764,0.5883491800876433,0.9915457516910146,0.9732621435048198
ONGC.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14288251417363718,0.8549485978792986,0.5518268549193115,0.33072991082576375,0.142661461307867,0.957227275273773,0.7731451899421334,0.30609110095701936,0.4586066969444676,0.40773975299219845,0.3224464520284951,0.9827688897101723,0.947298138513936
POWERGRID.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6610814309028619,0.2645806965582619,0.35320562459126936,0.005825911606497166,0.9681839821045838,0.6550136686752543,0.40662735105649017,0.2962659050453127,0.34944996958290786,0.1252505368272886,0.9752737188099979,0.9418261357240479
RELIANCE.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25117402086329355,0.4545125147746727,0.3192087027791267,0.5318424560743819,0.0006814896145671843,0.17599503398592797,0.20574952440160665,0.12772805230599577,0.19894579207330598,0.6803366552276136,0.6193370332808473
SBILIFE.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025575831560929116,0.2096452126290373,0.9747146963474129,0.4799906937761688,0.09325460247878414,0.3708361883292193,0.04475715426813167,0.08523296180699108,0.9072862442276234,0.9465710249944451
SBIN.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15959482998266733,0.9925272547313784,0.7781423703587231,0.13442133788473987,0.4652661083066546,0.23442317926274459,0.6564669188744694,0.9814562867350457,0.9826603444797268
SUNPHARMA.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9854288752036247,0.6865813824694205,0.26004873304287524,0.3365003496140737,0.2816433356429855,0.012616883845010743,0.9782005055543119,0.9792067586739537
TCS.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6071293434725449,0.7939932627314485,0.7640568856654394,0.9034297102602002,0.6350969891341209,0.5495401476789351,0.3927606800181243
TATACONSUM.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05700221778224244,0.25149173791739277,0.23018387670123291,0.16729535349912983,0.8415832594664532,0.7737085282689928
TATASTEEL.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.213619681348776,0.06522232922357589,0.11797321672071714,0.9242769548845992,0.9271929623181694
TECHM.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18364940845982552,0.02248692123170881,0.5562760126388877,0.5960722483591814
TITAN.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27089602054331285,0.9245689727231928,0.9483469277503952
ULTRACEMCO.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9373347694460843,0.8577034508360051
UPL.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10967689309937373
WIPRO.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
