Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BAJAJHLDNG.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2017-11-17,84.01924896240234,382.8225402832031,1028.8402099609375,1098.0989990234375,539.4747314453125,2572.17724609375,174.075927734375,511.2211608886719,50.81747055053711,2520.5,424.0165100097656,145.11412048339844,2101.451904296875,573.9483032226562,134.37924194335938,440.0352478027344,2871.85986328125,1119.0272216796875,332.0603942871094,425.9344482421875,336.6985168457031,2724.762451171875,245.563720703125,1125.7943115234375,312.27099609375,180.63479614257812,1555.4830322265625,390.0937805175781,243.35145568847656,203.57492065429688,1084.8260498046875,658.2987060546875,7752.0517578125,344.9547424316406,106.69819641113281,111.05943298339844,76.34239196777344,402.8144836425781,647.5352172851562,311.4168395996094,478.9273376464844,1109.047119140625,243.2986602783203,53.6739501953125,366.7115478515625,764.4569091796875,4117.0439453125,444.6319885253906,101.00282287597656
2017-11-20,86.05805206298828,380.57879638671875,1033.4732666015625,1093.4583740234375,542.2099609375,2600.370361328125,175.8192596435547,515.5861206054688,51.11605453491211,2526.324462890625,423.2862243652344,145.24371337890625,2107.269775390625,569.8928833007812,137.11312866210938,430.912841796875,2865.523193359375,1124.30419921875,332.9103088378906,428.874267578125,347.20196533203125,2745.360595703125,248.03024291992188,1122.579345703125,305.9794921875,181.4749755859375,1572.0682373046875,385.9153747558594,242.75820922851562,207.02685546875,1091.0361328125,654.2330322265625,7823.83251953125,346.497802734375,108.44094848632812,112.56026458740234,76.41559600830078,406.76800537109375,649.4005737304688,307.2646179199219,478.97369384765625,1107.469970703125,257.3405456542969,53.74666976928711,360.8463134765625,762.1720581054688,4034.30810546875,447.5176696777344,100.72904968261719
2017-11-21,82.32921600341797,382.6793212890625,1080.484619140625,1087.7862548828125,543.8509521484375,2647.092041015625,176.25755310058594,518.840087890625,50.461997985839844,2540.90771484375,432.39373779296875,147.27357482910156,2131.02685546875,581.0690307617188,134.87184143066406,453.5909423828125,2845.028076171875,1111.1826171875,331.1510925292969,430.76416015625,376.4652404785156,2760.481201171875,248.03024291992188,1125.08935546875,307.2762145996094,179.09449768066406,1571.40087890625,388.2054138183594,245.4052276611328,204.89801025390625,1084.69287109375,657.9501342773438,7823.04150390625,347.376953125,109.94329071044922,113.12307739257812,75.6104507446289,411.9362487792969,674.9270629882812,305.0962219238281,498.330810546875,1094.975341796875,255.70233154296875,54.45088577270508,373.7499084472656,792.7970581054688,4017.037353515625,463.235107421875,100.60929107666016
2017-11-22,84.66307830810547,395.7598876953125,1121.1563720703125,1100.9114990234375,537.5849609375,2657.47900390625,172.77085876464844,515.8651733398438,51.286685943603516,2547.932861328125,428.8280944824219,146.17945861816406,2112.556884765625,584.0399780273438,133.8866729736328,447.24407958984375,2822.362548828125,1135.4765625,332.9103088378906,432.864013671875,386.13824462890625,2747.38671875,244.52017211914062,1119.0118408203125,306.3157043457031,180.73983764648438,1551.146240234375,388.22552490234375,245.13145446777344,204.18174743652344,1084.7371826171875,664.2230224609375,7905.0810546875,341.18914794921875,109.28229522705078,113.37320709228516,75.77513122558594,411.14117431640625,680.523193359375,309.3868713378906,495.73748779296875,1098.1295166015625,256.5447998046875,54.42792892456055,365.23583984375,790.5609130859375,4081.681884765625,458.69183349609375,100.71195220947266
2017-11-23,81.81951141357422,388.6944885253906,1111.4517822265625,1087.1300048828125,541.2153930664062,2618.537841796875,171.7677001953125,511.6047668457031,53.20619201660156,2573.2763671875,426.46527099609375,145.44522094726562,2115.741943359375,582.4837646484375,133.22171020507812,436.93756103515625,2863.6767578125,1149.9765625,337.47601318359375,429.9708557128906,366.2548828125,2759.43017578125,242.1484832763672,1116.41357421875,306.843994140625,180.73983764648438,1566.3968505859375,398.24951171875,243.5796661376953,203.35604858398438,1078.7489013671875,659.1815795898438,7858.88525390625,341.1151123046875,108.41092681884766,113.62333679199219,76.50707244873047,418.3193054199219,654.1622924804688,309.0639343261719,504.5362243652344,1098.3753662109375,257.24688720703125,54.554237365722656,370.53350830078125,783.5123291015625,4038.02294921875,459.98114013671875,100.4552993774414
2017-11-24,82.22189331054688,386.3075256347656,1116.9625244140625,1087.1300048828125,542.5580444335938,2637.50732421875,174.33401489257812,514.2955322265625,52.509483337402344,2568.51904296875,426.8518981933594,147.12962341308594,2097.890869140625,580.6917114257812,133.73892211914062,434.81561279296875,2881.670654296875,1142.5125732421875,339.33404541015625,431.96575927734375,362.20001220703125,2741.34619140625,238.73326110839844,1115.0482177734375,304.6827697753906,182.56016540527344,1597.8038330078125,405.6018371582031,242.07354736328125,204.9974822998047,1081.010986328125,666.3604125976562,7881.68212890625,336.5174255371094,108.3508071899414,113.18558502197266,77.29391479492188,420.13037109375,643.7554321289062,306.71099853515625,508.93548583984375,1101.1610107421875,260.8978271484375,54.22891616821289,373.9391174316406,806.2622680664062,4092.19873046875,456.8192138671875,100.16442108154297
2017-11-27,81.14886474609375,381.4381103515625,1104.0880126953125,1084.223876953125,556.383056640625,2623.95166015625,172.7026824951172,513.4235229492188,52.978702545166016,2572.07568359375,427.8829345703125,146.3953857421875,2122.1787109375,579.8429565429688,133.81280517578125,434.7682800292969,2876.372314453125,1135.9517822265625,340.2432556152344,433.4006652832031,371.6287536621094,2748.662353515625,236.83590698242188,1110.0716552734375,304.49066162109375,181.5099639892578,1582.8388671875,401.2627868652344,236.3229217529297,206.21112060546875,1086.555908203125,664.9199829101562,7900.8564453125,336.1585693359375,111.98653411865234,115.09286499023438,76.90965270996094,420.24078369140625,641.7918090820312,309.7098083496094,510.8342590332031,1100.260009765625,259.7276611328125,53.77728271484375,377.458251953125,809.4706420898438,4121.8193359375,463.7262878417969,100.88304901123047
2017-11-28,79.86119079589844,379.0034484863281,1081.85009765625,1097.8177490234375,559.5159912109375,2638.18896484375,172.03553771972656,522.2283935546875,53.0497932434082,2562.8720703125,422.72772216796875,146.15065002441406,2121.205810546875,577.0136108398438,135.14276123046875,434.02935791015625,2855.876953125,1117.74365234375,339.66998291015625,435.22052001953125,373.43634033203125,2756.61669921875,237.7845916748047,1116.7220458984375,300.84063720703125,179.9346466064453,1599.6624755859375,395.6180419921875,233.35635375976562,204.89801025390625,1074.9783935546875,666.7786865234375,8008.15185546875,336.31781005859375,109.85315704345703,113.3419189453125,76.25090026855469,416.7070007324219,641.54638671875,306.3418884277344,503.05438232421875,1100.03466796875,269.3697509765625,53.87679672241211,378.17724609375,795.3734130859375,4125.58203125,467.6556396484375,100.90016174316406
2017-11-29,79.11007690429688,385.2095031738281,1078.8265380859375,1081.73974609375,546.536376953125,2659.64453125,171.05189514160156,528.7459106445312,53.74650955200195,2504.0048828125,425.94970703125,146.20823669433594,2128.483154296875,573.3353271484375,136.10333251953125,431.3580017089844,2826.295166015625,1124.30419921875,337.2586669921875,437.0754699707031,369.13720703125,2743.63525390625,234.22706604003906,1124.0325927734375,302.4255065917969,180.66981506347656,1593.84814453125,394.8144836425781,232.99124145507812,204.18174743652344,1080.4345703125,666.0352172851562,8051.98046875,336.8851623535156,109.3724136352539,114.09230041503906,76.39728546142578,417.8775329589844,644.2462768554688,303.48150634765625,506.7127380371094,1088.91259765625,262.302001953125,54.293968200683594,375.7933044433594,795.3734130859375,4137.01611328125,461.8843994140625,102.2005615234375
2017-11-30,78.65404510498047,380.00592041015625,1079.021728515625,1075.083251953125,532.5125732421875,2651.30322265625,168.20314025878906,519.6272583007812,52.83651351928711,2537.5732421875,426.5511779785156,145.07093811035156,2130.451904296875,566.7332763671875,135.85704040527344,432.7315979003906,2800.464599609375,1112.3714599609375,335.22271728515625,432.50238037109375,362.9816589355469,2726.638671875,228.10813903808594,1120.7735595703125,295.41351318359375,179.26953125,1584.125732421875,392.1627197265625,232.62612915039062,199.01876831054688,1079.2811279296875,653.5592041015625,7984.8896484375,343.75042724609375,108.86161041259766,112.96672821044922,75.4091567993164,407.0772399902344,642.9700317382812,295.5923156738281,500.09063720703125,1080.2486572265625,268.7613220214844,53.134300231933594,370.2685852050781,796.1512451171875,4056.01708984375,449.02191162109375,99.89064025878906
