Date,z_score,long,short,exit
2018-06-22,-0.7325912111025621,False,False,False
2018-06-25,-0.20789050636292397,False,False,False
2018-06-26,-1.1037585051291035,False,False,False
2018-06-27,-1.5450677229611087,False,False,False
2018-06-28,-0.9973523082538505,False,False,False
2018-06-29,-1.1079533407501683,False,False,False
2018-07-02,-1.4372073895387127,False,False,False
2018-07-03,-2.1799586671125644,True,False,False
2018-07-04,-2.931304543376456,True,False,False
2018-07-05,-3.356250587407342,True,False,False
2018-07-06,-3.113091488472344,True,False,False
2018-07-09,-2.988675496397769,True,False,False
2018-07-10,-2.8198151814154224,True,False,False
2018-07-11,-2.31448577101849,True,False,False
2018-07-12,-2.1690954366562596,True,False,False
2018-07-13,-2.4507047035254526,True,False,False
2018-07-16,-2.2399349569076468,True,False,False
2018-07-17,-2.34660937853961,True,False,False
2018-07-18,-2.0215786489995002,True,False,False
2018-07-19,-2.0554878949387234,True,False,False
2018-07-20,-1.9442779756272506,False,False,False
2018-07-23,-2.4155822225636614,True,False,False
2018-07-24,-2.271227947710074,True,False,False
2018-07-25,-2.1528685099498186,True,False,False
2018-07-26,-1.0966902682520656,False,False,False
2018-07-27,-0.675859966794993,False,False,False
2018-07-30,-0.9019899782096584,False,False,False
2018-07-31,-1.3836593968417055,False,False,False
2018-08-01,-1.1936277180927786,False,False,False
2018-08-02,-0.8851623611767099,False,False,False
2018-08-03,-0.9221398489364995,False,False,False
2018-08-06,-1.052104366189748,False,False,False
2018-08-07,-1.0719653386283008,False,False,False
2018-08-08,-0.6500558241426354,False,False,False
2018-08-09,-0.5677746936617076,False,False,False
2018-08-10,0.018830310585534707,False,False,True
2018-08-13,-0.04636468710600576,False,False,True
2018-08-14,-0.057891187731244145,False,False,True
2018-08-16,-0.2413771848141129,False,False,False
2018-08-17,-0.24413957666095287,False,False,False
2018-08-20,-0.08989429523273654,False,False,True
2018-08-21,-0.04963002607076142,False,False,True
2018-08-23,-0.19828178107509437,False,False,True
2018-08-24,0.015027880652282614,False,False,True
2018-08-27,-0.08663800635247074,False,False,True
2018-08-28,-0.6591605554439484,False,False,False
2018-08-29,-0.7198412935342667,False,False,False
2018-08-30,-0.5688762370457265,False,False,False
2018-08-31,-0.02658699891769568,False,False,True
2018-09-03,0.935736784240896,False,False,False
2018-09-04,0.9980972572794947,False,False,False
2018-09-05,1.0579407607335856,False,False,False
2018-09-06,1.303276105498813,False,False,False
2018-09-07,1.3233131272701357,False,False,False
2018-09-10,1.4956415112121555,False,False,False
2018-09-11,1.524780358137727,False,False,False
2018-09-12,1.9354092391758224,False,False,False
2018-09-14,1.8624847728936111,False,False,False
2018-09-17,2.1662314971246177,False,True,False
2018-09-18,2.0833590545816767,False,True,False
2018-09-19,2.224364715000526,False,True,False
2018-09-21,2.3263242532514568,False,True,False
2018-09-24,1.8952452838908485,False,False,False
2018-09-25,1.2869988999757578,False,False,False
2018-09-26,1.4333733336113395,False,False,False
2018-09-27,1.8909280332861116,False,False,False
2018-09-28,1.9522851242073083,False,False,False
2018-10-01,1.8521916134391245,False,False,False
2018-10-03,1.630372298743078,False,False,False
2018-10-04,1.1717875272442928,False,False,False
2018-10-05,1.4252708615574532,False,False,False
2018-10-08,1.730646784314981,False,False,False
2018-10-09,1.6369566541579568,False,False,False
2018-10-10,1.57455995667518,False,False,False
2018-10-11,1.6276116611367004,False,False,False
2018-10-12,1.3709354800182187,False,False,False
2018-10-15,1.3484608706962298,False,False,False
2018-10-16,1.214286271676961,False,False,False
2018-10-17,1.2916695207045348,False,False,False
2018-10-19,1.355925505770948,False,False,False
2018-10-22,1.4816643349115526,False,False,False
2018-10-23,1.463615572452705,False,False,False
2018-10-24,1.5645482061651568,False,False,False
2018-10-25,1.4327445687076839,False,False,False
2018-10-26,1.2946148902132466,False,False,False
2018-10-29,0.9789814003757058,False,False,False
2018-10-30,0.9799114740195403,False,False,False
2018-10-31,1.40655917161208,False,False,False
2018-11-01,1.2354386661632135,False,False,False
2018-11-02,0.6357476884772856,False,False,False
2018-11-05,0.47991563937753445,False,False,False
2018-11-06,0.6668101951450394,False,False,False
2018-11-07,0.5679058708344898,False,False,False
2018-11-09,0.13714872871825706,False,False,True
2018-11-12,0.305325245469595,False,False,False
2018-11-13,0.712691107609041,False,False,False
2018-11-14,0.1873765945287742,False,False,True
2018-11-15,0.22685833728114796,False,False,False
2018-11-16,0.8839912044326699,False,False,False
2018-11-19,0.763979662003844,False,False,False
2018-11-20,0.7857365164450294,False,False,False
2018-11-21,0.3489627881708509,False,False,False
